County,Years,Count,Rate
Wakulla,2012,7,25.8960813175489
Walton,2012,13,17.9219237868233
Washington,2012,6,23.1896441362962
Florida,2011,2765,13.4784874085202
Alachua,2011,26,10.4790728554028
Baker,2011,3,12.9759794243105
Bay,2011,33,18.7025756285411
Bradford,2011,5,15.5832861085374
Brevard,2011,103,17.0148480829563
Broward,2011,233,12.1973895468966
Calhoun,2011,4,25.054175778193
Charlotte,2011,29,17.8558468553152
Citrus,2011,43,28.839538345283
Clay,2011,24,12.0475215484201
Collier,2011,32,9.84250869453246
Columbia,2011,13,18.969800948915
Miami-Dade,2011,206,7.59641969205472
DeSoto,2011,5,12.6978023263459
Dixie,2011,5,20.2101563143513
Duval,2011,127,14.2324322920213
Escambia,2011,36,10.8131856373653
Flagler,2011,15,15.4740514380336
Franklin,2011,0,0
Gadsden,2011,6,11.3210073812453
Gilchrist,2011,5,24.8737438228662
Glades,2011,3,20.1584776009663
Gulf,2011,3,17.1181605990143
Hamilton,2011,1,4.45592441266598
Hardee,2011,2,7.18267549668875
Hendry,2011,1,2.53598310291859
Hernando,2011,48,26.5546637189966
Highlands,2011,16,15.5776694883718
Hillsborough,2011,161,12.6447176714988
Holmes,2011,4,20.6151429282943
Indian River,2011,16,11.8347539669254
Jackson,2011,7,12.1607813297541
Jefferson,2011,0,0
Lafayette,2011,1,11.1525227460711
Lake,2011,46,13.8287743916672
Lee,2011,103,15.6866534116456
Leon,2011,29,11.1877574720595
Levy,2011,8,15.0648770245639
Liberty,2011,0,0
Madison,2011,0,0
Manatee,2011,51,14.7168759516639
Marion,2011,68,18.3863964160869
Martin,2011,39,22.5472957283735
Monroe,2011,24,25.9529680526844
Nassau,2011,15,17.5984459473108
Okaloosa,2011,30,15.7104190184624
Okeechobee,2011,10,24.1130704107262
Orange,2011,113,9.96161806395313
Osceola,2011,40,14.6655283738246
Palm Beach,2011,198,13.784942157688
Pasco,2011,107,21.5440390907635
Pinellas,2011,172,16.0784842602601
Polk,2011,85,13.3804461701385
Putnam,2011,10,15.6857029695306
St. Johns,2011,26,12.5342915847945
St. Lucie,2011,54,18.1190604113421
Santa Rosa,2011,32,18.8228308248076
Sarasota,2011,75,16.8242678152613
Seminole,2011,54,12.0200003489538
Sumter,2011,11,10.5023651106134
Suwannee,2011,7,15.4102976402255
Taylor,2011,2,8.99459068469074
Union,2011,1,5.25463756819953
Volusia,2011,102,19.0547277591612
Wakulla,2011,8,26.509223324557
Walton,2011,16,22.7482450687526
Washington,2011,9,33.7641721998826
