County,Years,Gender,Rate,Count
Suwannee,2012,Male,26.2,7
Taylor,2012,Male,14.2,2
Union,2012,Male,11,1
Volusia,2012,Male,30.7,88
Wakulla,2012,Male,29.4,4
Walton,2012,Male,27.6,10
Washington,2012,Male,25.3,3
Alachua,2011,Male,15.6,18
Baker,2011,Male,12.2,1
Bay,2011,Male,29.2,26
Bradford,2011,Male,15.2,3
Brevard,2011,Male,27.7,82
Broward,2011,Male,20.1,185
Calhoun,2011,Male,32.4,3
Charlotte,2011,Male,30,24
Citrus,2011,Male,49.6,35
Clay,2011,Male,23.6,22
Collier,2011,Male,17.6,28
Columbia,2011,Male,32.8,11
Miami-Dade,2011,Male,13.7,173
DeSoto,2011,Male,13.6,3
Dixie,2011,Male,38.9,5
Duval,2011,Male,23.2,96
Escambia,2011,Male,18.7,31
Flagler,2011,Male,23.7,11
Franklin,2011,Male,0,0
Gadsden,2011,Male,23.7,6
Gilchrist,2011,Male,65.2,5
Glades,2011,Male,34.1,3
Gulf,2011,Male,26.9,3
Hamilton,2011,Male,8.8,1
Hardee,2011,Male,12.6,2
Hendry,2011,Male,4.9,1
Hernando,2011,Male,39.4,34
Highlands,2011,Male,29.1,14
Hillsborough,2011,Male,20.8,124
Holmes,2011,Male,15.4,2
Indian River,2011,Male,18,12
Jackson,2011,Male,15.8,5
Jefferson,2011,Male,0,0
Lafayette,2011,Male,0,0
Lake,2011,Male,24.5,39
Lee,2011,Male,25.8,84
Leon,2011,Male,20.6,25
Levy,2011,Male,18.3,5
Liberty,2011,Male,0,0
Madison,2011,Male,0,0
Manatee,2011,Male,23.8,40
Marion,2011,Male,33,55
Martin,2011,Male,37.4,32
Monroe,2011,Male,43.6,21
Nassau,2011,Male,30.9,13
Okaloosa,2011,Male,23.3,22
Okeechobee,2011,Male,42.1,9
Orange,2011,Male,17.4,92
Osceola,2011,Male,26.5,34
Palm Beach,2011,Male,20.6,143
Pasco,2011,Male,31.4,77
Pinellas,2011,Male,25.7,136
Polk,2011,Male,21.4,66
Putnam,2011,Male,27.2,8
St. Johns,2011,Male,19.7,20
St. Lucie,2011,Male,28.1,41
Santa Rosa,2011,Male,36.1,31
Sarasota,2011,Male,25.9,57
Seminole,2011,Male,16,35
Sumter,2011,Male,10.1,6
Suwannee,2011,Male,13.3,3
Taylor,2011,Male,6.8,1
Union,2011,Male,0,0
Volusia,2011,Male,32.2,85
Wakulla,2011,Male,41.8,7
Walton,2011,Male,35.5,13
Washington,2011,Male,48,7
