County,Years,Gender,Rate,Count
Putnam,2013,Female,8.7,3
St. Johns,2013,Female,9.8,10
St. Lucie,2013,Female,4.2,8
Santa Rosa,2013,Female,9.5,8
Sarasota,2013,Female,9.8,23
Seminole,2013,Female,5.6,12
Sumter,2013,Female,11.2,5
Suwannee,2013,Female,0,0
Taylor,2013,Female,9.5,1
Union,2013,Female,17.3,1
Volusia,2013,Female,13.6,37
Wakulla,2013,Female,14.7,2
Walton,2013,Female,5.1,2
Washington,2013,Female,0,0
Alachua,2012,Female,9.8,11
Baker,2012,Female,7.4,1
Bay,2012,Female,8.8,9
Bradford,2012,Female,28.4,3
Brevard,2012,Female,8.7,28
Broward,2012,Female,5.8,57
Calhoun,2012,Female,0,0
Charlotte,2012,Female,1.3,3
Citrus,2012,Female,11.8,8
Clay,2012,Female,9.5,10
Collier,2012,Female,10.2,14
Columbia,2012,Female,4.6,2
Miami-Dade,2012,Female,2.5,37
DeSoto,2012,Female,4.7,1
Dixie,2012,Female,18.9,2
Duval,2012,Female,7.5,36
Escambia,2012,Female,8.6,13
Flagler,2012,Female,7,4
Franklin,2012,Female,18.4,1
Gadsden,2012,Female,3.2,1
Gilchrist,2012,Female,11.6,1
Glades,2012,Female,26.6,1
Gulf,2012,Female,14.5,1
Hamilton,2012,Female,23.9,1
Hardee,2012,Female,8.3,1
Hendry,2012,Female,0,0
Hernando,2012,Female,14.1,12
Highlands,2012,Female,2.3,1
Hillsborough,2012,Female,5.4,36
Holmes,2012,Female,12.8,1
Indian River,2012,Female,13.7,11
Jackson,2012,Female,11.3,2
Jefferson,2012,Female,0,0
Lafayette,2012,Female,0,0
Lake,2012,Female,5.7,9
Lee,2012,Female,10.8,37
Leon,2012,Female,7.4,10
Levy,2012,Female,5.3,2
Liberty,2012,Female,27.2,1
Madison,2012,Female,0,0
Manatee,2012,Female,2.4,4
Marion,2012,Female,6.4,10
Martin,2012,Female,2.2,3
Monroe,2012,Female,10.6,3
Nassau,2012,Female,2.3,1
Okaloosa,2012,Female,8.3,8
Okeechobee,2012,Female,15.2,2
Orange,2012,Female,5.9,36
Osceola,2012,Female,2.7,4
Palm Beach,2012,Female,7.9,58
Pasco,2012,Female,6.2,16
Pinellas,2012,Female,12.3,64
Polk,2012,Female,3.7,12
Putnam,2012,Female,7,3
St. Johns,2012,Female,8.9,10
St. Lucie,2012,Female,6.2,9
Santa Rosa,2012,Female,10.4,10
Sarasota,2012,Female,11.6,24
Seminole,2012,Female,6,14
Sumter,2012,Female,16.2,4
Suwannee,2012,Female,9.2,2
Taylor,2012,Female,5.7,1
Union,2012,Female,16.5,1
Volusia,2012,Female,11.5,33
Wakulla,2012,Female,25.4,3
Walton,2012,Female,7.3,3
Washington,2012,Female,29.8,3
Alachua,2011,Female,6.3,8
Baker,2011,Female,16.9,2
Bay,2011,Female,8.4,7
Bradford,2011,Female,17,2
Brevard,2011,Female,7,21
Broward,2011,Female,4.9,48
Calhoun,2011,Female,18.3,1
Charlotte,2011,Female,5.9,5
Citrus,2011,Female,9.9,8
Clay,2011,Female,1.8,2
Collier,2011,Female,2.2,4
Columbia,2011,Female,5.5,2
Miami-Dade,2011,Female,2.3,33
DeSoto,2011,Female,10.9,2
Dixie,2011,Female,0,0
Duval,2011,Female,6.8,31
Escambia,2011,Female,3.4,5
Flagler,2011,Female,7.9,4
Franklin,2011,Female,0,0
Gadsden,2011,Female,0,0
Gilchrist,2011,Female,0,0
Glades,2011,Female,0,0
Gulf,2011,Female,0,0
Hamilton,2011,Female,0,0
Hardee,2011,Female,0,0
Hendry,2011,Female,0,0
Hernando,2011,Female,15.1,14
Highlands,2011,Female,2,2
Hillsborough,2011,Female,5.5,37
Holmes,2011,Female,28.5,2
Indian River,2011,Female,5.7,4
Jackson,2011,Female,7,2
Jefferson,2011,Female,0,0
Lafayette,2011,Female,30,1
Lake,2011,Female,4.1,7
Lee,2011,Female,5.8,19
Leon,2011,Female,3.4,4
Levy,2011,Female,11.7,3
Liberty,2011,Female,0,0
Madison,2011,Female,0,0
Manatee,2011,Female,6.2,11
Marion,2011,Female,4.8,13
Martin,2011,Female,7.8,7
Monroe,2011,Female,5.9,3
Nassau,2011,Female,4.8,2
Okaloosa,2011,Female,8.4,8
Okeechobee,2011,Female,3.9,1
Orange,2011,Female,3.6,21
Osceola,2011,Female,4,6
Palm Beach,2011,Female,7.4,55
Pasco,2011,Female,12.4,30
Pinellas,2011,Female,7.5,36
Polk,2011,Female,5.8,19
Putnam,2011,Female,4,2
St. Johns,2011,Female,6.1,6
St. Lucie,2011,Female,8.6,13
Santa Rosa,2011,Female,1.1,1
Sarasota,2011,Female,8.8,18
Seminole,2011,Female,8.4,19
Sumter,2011,Female,11.3,5
Suwannee,2011,Female,17.2,4
Taylor,2011,Female,11.7,1
Union,2011,Female,15.9,1
Volusia,2011,Female,6.6,17
Wakulla,2011,Female,6.2,1
Walton,2011,Female,10.1,3
Washington,2011,Female,13.5,2
