,year,record,age,grade,consideration,plan,attempt
3688,2001,1912036,6.0,4.0,2.0,2.0,1.0
3690,2001,1912038,6.0,3.0,1.0,1.0,1.0
3717,2001,1912065,6.0,3.0,1.0,2.0,1.0
3748,2001,1912096,6.0,4.0,1.0,1.0,1.0
3778,2001,1912126,6.0,2.0,1.0,2.0,1.0
3783,2001,1912131,6.0,3.0,2.0,1.0,1.0
3799,2001,1912147,6.0,2.0,1.0,1.0,1.0
3821,2001,1912169,6.0,4.0,1.0,1.0,1.0
3835,2001,1912183,6.0,4.0,1.0,1.0,1.0
3856,2001,1912204,6.0,3.0,1.0,1.0,1.0
3857,2001,1912205,6.0,3.0,2.0,1.0,1.0
3885,2001,1912233,6.0,3.0,1.0,2.0,1.0
3900,2001,1912248,6.0,4.0,1.0,2.0,1.0
3911,2001,1912259,6.0,3.0,1.0,2.0,1.0
3926,2001,1912274,6.0,3.0,1.0,2.0,1.0
3927,2001,1912275,6.0,4.0,1.0,1.0,1.0
3936,2001,1912284,6.0,4.0,1.0,1.0,1.0
3937,2001,1912285,6.0,3.0,1.0,1.0,1.0
3943,2001,1912291,6.0,3.0,1.0,2.0,1.0
3950,2001,2156342,7.0,4.0,1.0,2.0,1.0
3965,2001,2156357,7.0,4.0,2.0,1.0,1.0
3972,2001,2156364,7.0,4.0,1.0,1.0,1.0
3974,2001,2156366,7.0,4.0,1.0,1.0,1.0
3986,2001,2156378,7.0,4.0,1.0,1.0,1.0
3991,2001,2156383,7.0,4.0,2.0,1.0,1.0
4005,2001,2156397,7.0,3.0,1.0,1.0,1.0
4043,2001,2156435,7.0,4.0,2.0,1.0,1.0
4045,2001,2156437,7.0,1.0,1.0,1.0,1.0
4046,2001,2156438,7.0,1.0,2.0,2.0,1.0
4056,2001,2156448,7.0,4.0,1.0,1.0,1.0
4062,2001,2156454,7.0,3.0,1.0,1.0,1.0
4068,2001,2156460,7.0,4.0,1.0,2.0,1.0
4090,2001,2156482,7.0,4.0,1.0,1.0,1.0
4095,2001,2156487,7.0,4.0,1.0,1.0,1.0
4101,2001,2156493,7.0,4.0,2.0,2.0,1.0
4118,2001,2156510,7.0,4.0,1.0,1.0,1.0
4125,2001,2156517,7.0,4.0,1.0,2.0,1.0
4131,2001,2156523,7.0,3.0,1.0,1.0,1.0
4171,2001,2156563,7.0,4.0,1.0,1.0,1.0
4205,2001,2156597,7.0,4.0,1.0,2.0,1.0
4213,2001,2156605,7.0,4.0,1.0,1.0,1.0
4249,2003,7542,4.0,2.0,2.0,1.0,1.0
4253,2003,9843,5.0,1.0,1.0,1.0,1.0
4255,2003,12055,6.0,3.0,2.0,1.0,1.0
4282,2003,21015,1.0,1.0,1.0,1.0,1.0
4295,2003,24906,2.0,4.0,1.0,1.0,1.0
4310,2003,39831,3.0,1.0,2.0,2.0,1.0
4347,2003,39868,3.0,1.0,1.0,2.0,1.0
4396,2003,39917,3.0,1.0,1.0,1.0,1.0
4470,2003,187838,4.0,2.0,1.0,1.0,1.0
4488,2003,187856,4.0,1.0,2.0,1.0,1.0
4518,2003,187886,4.0,1.0,1.0,1.0,1.0
4567,2003,187935,4.0,4.0,1.0,1.0,1.0
4570,2003,187938,4.0,1.0,2.0,1.0,1.0
4624,2003,187992,4.0,1.0,1.0,1.0,1.0
4636,2003,188004,4.0,1.0,2.0,2.0,1.0
4663,2003,188031,4.0,1.0,1.0,1.0,1.0
4668,2003,188036,4.0,1.0,1.0,1.0,1.0
4676,2003,188044,4.0,1.0,1.0,2.0,1.0
4697,2003,188065,4.0,2.0,1.0,1.0,1.0
4699,2003,188067,4.0,1.0,1.0,1.0,1.0
4713,2003,188081,4.0,1.0,2.0,2.0,1.0
4721,2003,188089,4.0,1.0,1.0,1.0,1.0
4726,2003,188094,4.0,1.0,1.0,1.0,1.0
4729,2003,188097,4.0,1.0,2.0,1.0,1.0
4730,2003,188098,4.0,1.0,1.0,1.0,1.0
4742,2003,188110,4.0,1.0,1.0,2.0,1.0
4757,2003,188125,4.0,1.0,1.0,1.0,1.0
4794,2003,188162,4.0,1.0,1.0,2.0,1.0
4798,2003,188166,4.0,1.0,1.0,2.0,1.0
4865,2003,188233,4.0,2.0,1.0,1.0,1.0
4876,2003,188244,4.0,1.0,1.0,2.0,1.0
4879,2003,188247,4.0,1.0,2.0,1.0,1.0
4907,2003,466587,5.0,2.0,1.0,1.0,1.0
4919,2003,466599,5.0,1.0,1.0,1.0,1.0
4920,2003,466600,5.0,1.0,2.0,1.0,1.0
4924,2003,466604,5.0,1.0,1.0,1.0,1.0
4926,2003,466606,5.0,1.0,2.0,1.0,1.0
4963,2003,466643,5.0,1.0,1.0,1.0,1.0
5016,2003,466696,5.0,2.0,1.0,1.0,1.0
5043,2003,466723,5.0,2.0,1.0,1.0,1.0
5047,2003,466727,5.0,3.0,2.0,2.0,1.0
5062,2003,466742,5.0,2.0,1.0,1.0,1.0
5092,2003,466772,5.0,2.0,1.0,2.0,1.0
5093,2003,466773,5.0,2.0,1.0,1.0,1.0
5099,2003,466779,5.0,2.0,1.0,1.0,1.0
5100,2003,466780,5.0,3.0,1.0,1.0,1.0
5109,2003,466789,5.0,2.0,1.0,2.0,1.0
5122,2003,466802,5.0,1.0,1.0,1.0,1.0
5129,2003,466809,5.0,2.0,1.0,1.0,1.0
5158,2003,466838,5.0,2.0,1.0,1.0,1.0
5161,2003,466841,5.0,2.0,1.0,1.0,1.0
5169,2003,466849,5.0,2.0,1.0,1.0,1.0
5186,2003,466866,5.0,3.0,1.0,1.0,1.0
5198,2003,466878,5.0,2.0,1.0,2.0,1.0
5219,2003,466899,5.0,2.0,2.0,2.0,1.0
5266,2003,466946,5.0,1.0,1.0,1.0,1.0
5307,2003,466987,5.0,2.0,1.0,1.0,1.0
5325,2003,467005,5.0,2.0,1.0,1.0,1.0
5330,2003,467010,5.0,2.0,1.0,1.0,1.0
5345,2003,467025,5.0,3.0,1.0,2.0,1.0
5353,2003,467033,5.0,3.0,1.0,2.0,1.0
5360,2003,467040,5.0,4.0,1.0,1.0,1.0
5379,2003,467059,5.0,1.0,1.0,1.0,1.0
5395,2003,467075,5.0,1.0,1.0,1.0,1.0
5396,2003,467076,5.0,1.0,1.0,1.0,1.0
5397,2003,467077,5.0,2.0,1.0,1.0,1.0
5404,2003,467084,5.0,2.0,2.0,2.0,1.0
5438,2003,749570,6.0,1.0,2.0,2.0,1.0
5443,2003,749575,6.0,3.0,1.0,1.0,1.0
5445,2003,749577,6.0,3.0,1.0,1.0,1.0
5448,2003,749580,6.0,3.0,1.0,1.0,1.0
5496,2003,749628,6.0,3.0,1.0,1.0,1.0
5502,2003,749634,6.0,4.0,1.0,1.0,1.0
5517,2003,749649,6.0,4.0,1.0,2.0,1.0
5520,2003,749652,6.0,2.0,1.0,1.0,1.0
5567,2003,749699,6.0,3.0,1.0,1.0,1.0
5576,2003,749708,6.0,1.0,1.0,2.0,1.0
5611,2003,749743,6.0,3.0,1.0,1.0,1.0
5632,2003,749764,6.0,3.0,1.0,1.0,1.0
5646,2003,749778,6.0,3.0,1.0,1.0,1.0
5691,2003,749823,6.0,3.0,1.0,1.0,1.0
5710,2003,749842,6.0,3.0,2.0,1.0,1.0
5752,2003,749884,6.0,2.0,1.0,1.0,1.0
5755,2003,749887,6.0,3.0,1.0,1.0,1.0
5774,2003,749906,6.0,3.0,1.0,1.0,1.0
5811,2003,749943,6.0,2.0,1.0,1.0,1.0
5844,2003,749976,6.0,3.0,1.0,2.0,1.0
5877,2003,750009,6.0,1.0,2.0,1.0,1.0
5916,2003,991384,7.0,4.0,2.0,1.0,1.0
5921,2003,991389,7.0,4.0,2.0,1.0,1.0
5943,2003,991411,7.0,2.0,1.0,1.0,1.0
5956,2003,991424,7.0,4.0,2.0,2.0,1.0
5963,2003,991431,7.0,4.0,1.0,1.0,1.0
5979,2003,991447,7.0,4.0,1.0,1.0,1.0
5980,2003,991448,7.0,3.0,1.0,1.0,1.0
5984,2003,991452,7.0,4.0,1.0,2.0,1.0
5995,2003,991463,7.0,4.0,1.0,1.0,1.0
6010,2003,991478,7.0,4.0,1.0,1.0,1.0
6024,2003,991492,7.0,4.0,1.0,1.0,1.0
6043,2003,991511,7.0,4.0,2.0,2.0,1.0
6070,2003,991538,7.0,4.0,1.0,2.0,1.0
6076,2003,991544,7.0,4.0,2.0,2.0,1.0
6081,2003,991549,7.0,4.0,1.0,1.0,1.0
6095,2003,991563,7.0,4.0,1.0,1.0,1.0
6104,2003,991572,7.0,3.0,2.0,1.0,1.0
6165,2003,991633,7.0,4.0,1.0,1.0,1.0
6177,2003,991645,7.0,4.0,2.0,1.0,1.0
6199,2003,1118157,1.0,4.0,2.0,2.0,1.0
6210,2003,1139708,3.0,1.0,1.0,1.0,1.0
6226,2003,1139724,3.0,1.0,1.0,1.0,1.0
6252,2003,1139750,3.0,1.0,1.0,2.0,1.0
6253,2003,1139751,3.0,1.0,1.0,1.0,1.0
6255,2003,1139753,3.0,1.0,2.0,1.0,1.0
6272,2003,1139770,3.0,1.0,1.0,1.0,1.0
6273,2003,1139771,3.0,1.0,1.0,1.0,1.0
6292,2003,1139790,3.0,1.0,1.0,1.0,1.0
6296,2003,1139794,3.0,1.0,1.0,1.0,1.0
6305,2003,1139803,3.0,1.0,1.0,1.0,1.0
6307,2003,1139805,3.0,1.0,1.0,2.0,1.0
6308,2003,1139806,3.0,1.0,1.0,2.0,1.0
6323,2003,1139821,3.0,1.0,1.0,1.0,1.0
6351,2003,1139849,3.0,1.0,1.0,1.0,1.0
6352,2003,1139850,3.0,1.0,1.0,1.0,1.0
6366,2003,1139864,3.0,1.0,1.0,2.0,1.0
6372,2003,1139870,3.0,1.0,1.0,1.0,1.0
6385,2003,1139883,3.0,1.0,1.0,1.0,1.0
6399,2003,1139897,3.0,1.0,1.0,1.0,1.0
6409,2003,1139907,3.0,1.0,1.0,2.0,1.0
6411,2003,1315693,4.0,1.0,1.0,2.0,1.0
6415,2003,1315697,4.0,1.0,1.0,1.0,1.0
6420,2003,1315702,4.0,2.0,1.0,2.0,1.0
6423,2003,1315705,4.0,1.0,1.0,1.0,1.0
6426,2003,1315708,4.0,1.0,1.0,1.0,1.0
6427,2003,1315709,4.0,1.0,1.0,2.0,1.0
6432,2003,1315714,4.0,1.0,1.0,1.0,1.0
6435,2003,1315717,4.0,2.0,1.0,2.0,1.0
6442,2003,1315724,4.0,1.0,1.0,1.0,1.0
6444,2003,1315726,4.0,1.0,1.0,2.0,1.0
6456,2003,1315738,4.0,2.0,1.0,2.0,1.0
6457,2003,1315739,4.0,1.0,1.0,1.0,1.0
6475,2003,1315757,4.0,1.0,2.0,2.0,1.0
6481,2003,1315763,4.0,1.0,1.0,2.0,1.0
6489,2003,1315771,4.0,1.0,1.0,1.0,1.0
6493,2003,1315775,4.0,1.0,1.0,1.0,1.0
6497,2003,1315779,4.0,1.0,1.0,2.0,1.0
6515,2003,1315797,4.0,1.0,1.0,1.0,1.0
6539,2003,1315821,4.0,1.0,1.0,1.0,1.0
6558,2003,1315840,4.0,2.0,1.0,1.0,1.0
6565,2003,1315847,4.0,2.0,1.0,1.0,1.0
6579,2003,1315861,4.0,1.0,1.0,2.0,1.0
6589,2003,1315871,4.0,2.0,2.0,2.0,1.0
6592,2003,1315874,4.0,2.0,1.0,2.0,1.0
6616,2003,1315898,4.0,2.0,1.0,1.0,1.0
6625,2003,1315907,4.0,2.0,1.0,2.0,1.0
6632,2003,1315914,4.0,1.0,1.0,1.0,1.0
6634,2003,1315916,4.0,1.0,1.0,1.0,1.0
6666,2003,1315948,4.0,2.0,1.0,2.0,1.0
6669,2003,1315951,4.0,1.0,2.0,2.0,1.0
6675,2003,1315957,4.0,1.0,1.0,1.0,1.0
6678,2003,1315960,4.0,1.0,1.0,1.0,1.0
6695,2003,1315977,4.0,1.0,1.0,1.0,1.0
6702,2003,1315984,4.0,1.0,1.0,1.0,1.0
6714,2003,1315996,4.0,1.0,1.0,1.0,1.0
6724,2003,1316006,4.0,1.0,1.0,1.0,1.0
