"Suicides by Drug Poisoning, Rate Per 100,000 Population",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,
County,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV
Seminole,6,"480,417",1.2,1,5,"472,775",1.1,0.9,4,"463,627",0.9,,6,"457,028",1.3,1.1,14,"450,706.00",3.1,1.6,10,"444,403",2.3,1.4,6,"438,606",1.4,1.1,9,"432,336",2.1,1.4,5,428790,1.2,1,9,"425,398",2.1,1.4
Sumter,3,"133,310",2.3,,6,"130,642",4.6,3.7,5,"125,779",4,3.5,2,"123,928",1.6,,3,"119,433.00",2.5,,4,"116,440",3.4,,2,"112,466",1.8,,5,"106,591",4.7,4.1,2,101273,2,,1,"97,440",1,
Suwannee,1,"46,028",2.2,,1,"45,482",2.2,,2,"45,123",4.4,,0,"44,522",0,,0,"44,340.00",0,,2,"44,449",4.5,,0,"44,263",0,,0,"43,923",0,,2,43818,4.6,,0,"43,489",0,
Taylor,0,"22,654",0,,1,"22,652",4.4,,0,"22,258",0,,0,"22,220",0,,0,"22,400.00",0,,0,"22,752",0,,1,"22,916",4.4,,0,"23,002",0,,2,22969,8.7,,0,"22,570",0,
Union,0,"15,493",0,,0,"15,985",0,,1,"15,966",6.3,,0,"15,896",0,,0,"15,873.00",0,,0,"15,934",0,,0,"15,724",0,,1,"15,499",6.5,,1,15506,6.4,,0,"15,471",0,
Volusia,12,"546,612",2.2,1.2,11,"539,563",2,1.2,13,"532,926",2.4,1.3,11,"525,121",2.1,1.2,15,"519,037.00",2.9,1.5,15,"512,247",2.9,1.5,19,"505,420",3.8,1.7,21,"499,893",4.2,1.8,16,497494,3.2,1.6,8,"495,835",1.6,1.1
Wakulla,1,"33,394",3,,0,"32,418",0,,1,"32,350",3.1,,0,"32,134",0,,0,"31,706.00",0,,0,"31,323",0,,0,"31,310",0,,1,"30,974",3.2,,1,30758,3.3,,1,"30,856",3.2,
Walton,0,"72,528",0,,2,"70,352",2.8,,0,"67,926",0,,0,"65,724",0,,1,"63,562.00",1.6,,1,"61,111",1.6,,0,"60,076",0,,0,"58,233",0,,2,57177,3.5,,2,"55,794",3.6,
Washington,0,"25,252",0,,0,"25,347",0,,1,"25,243",4,,0,"24,935",0,,0,"24,880.00",0,,0,"24,952",0,,1,"24,989",4,,0,"24,805",0,,0,24921,0,,0,"24,679",0,
Unknown,0,,,,1,,,,1,,,,0,,,,0,,,,1,,,,2,,,,0,,,,1,,,,1,,,
